demName	d.gone.neg	d.gone.neg.l1	d.gone.neg.l2	d.neg.frac.l3	camp.length	deminc	base.poll	year.2002	year.2004	year.2006	base.und	office	demprcnt	time
Akaka	0	0	0	0	8	1	65.90909091	0	0	1	12	1	62.51876336	1
Angelides	0	1	1	0.75	23	0	45.88235294	0	0	1	15	0	41.04506576	1
Baldacci	1	1	1	0.133333333	22	1	51.13636364	0	0	1	12	0	55.7794299	1
Barnes	1	0	0	0	12	1	59.74025974	1	0	0	23	0	47.35652352	1
Baxley	0	0	1	0.235294118	24	0	43.02325581	0	0	1	14	0	41.9840343	1
Beebe	1	1	1	0	25	0	56.32183908	0	0	1	13	0	57.75839529	1
Bell	0	0	0	0	36	0	34.54545455	0	0	1	45	0	43.28646054	1
Bernstein	1	1	1	1	10	0	41.66666667	0	0	0	16	1	41.87736292	1
Bingaman	0	0	0	0	23	1	64.94845361	0	0	0	3	1	61.72884342	1
Blagojevich	1	0	1	0.185185185	34	0	50.63291139	1	0	0	21	0	53.66182452	1
Bowles	1	1	1	0.5	9	0	41.66666667	1	0	0	16	1	45.63100032	1
Boxer	0	0	0	0	36	1	57.35142119	0	1	0	12	1	60.42337979	1
Bradbury	1	0	0	0.166666667	25	0	42.85714286	1	0	0	16	1	41.33620494	1
Brady	1	1	0	0	25	0	30	0	0	1	40	0	45.57717256	1
Bredesen	1	1	1	0	15	0	56.06060606	1	0	0	34	0	51.55413472	1
Brown	1	1	1	0.238095238	28	0	51.76470588	0	0	1	15	1	56.17573237	1
Byrd	0	0	0	0.1	27	1	62.63736264	0	0	1	9	1	65.64669336	1
Cantwell	1	1	1	1	8	0	46.19699042	0	0	0	14.5	1	50.04650251	1
Cardin	1	1	1	0	9	0	54.90369845	0	0	1	8	1	55.08641441	1
Carnahan	1	1	1	0.142857143	14	1	55.91397849	1	0	0	7	1	49.42519783	1
Carper	1	1	1	0	10	0	49.41176471	0	0	0	15	1	55.97154936	1
Carson	1	1	1	0.25	15	0	42.2310757	0	1	0	24.7	1	43.872773	1
Carter	0	0	0	0	13	0	37.93103448	0	0	1	13	1	42.54360882	1
Casey	1	1	1	0.263157895	26	0	62.92134831	0	0	1	11	1	58.68375839	1
Castor	1	1	1	0.333333333	10	0	51.08695652	0	1	0	10	1	49.43093584	1
Clavelle	1	1	1	0	8	0	41.46341463	0	1	0	18	0	39.25726159	1
Cleland	1	0	1	0.2	12	1	64.28571429	1	0	0	16	1	46.52283314	1
Clement	1	0	0	0	15	0	43.52941176	1	0	0	15	1	44.96439188	1
Clinton	1	1	1	1	9	0	52.74725275	0	0	0	9	1	56.24024469	1
Corzine	1	0	1	0.0625	23	0	54.43037975	0	0	0	21	1	51.55159263	1
Culver	1	1	1	0.3125	23	0	54.44444444	0	0	1	10	0	54.90117189	1
Curry	1	0	1	0.5	9	0	41.33333333	1	0	0	25	0	43.89144253	1
Davis	1	1	1	0.517241379	36	1	48.8372093	1	0	0	14	0	52.71276452	1
Dayton	1	1	1	1	9	0	51.76470588	0	0	0	15	1	53.00756788	1
DeStefano	0	1	1	0	14	0	34.93083004	0	0	1	10	0	35.93174214	1
Doyle	1	1	1	0	9	0	50.68493151	1	0	0	27	0	52.14082775	1
Durbin	0	0	0	0	34	1	63.41463415	1	0	0	18	1	61.34378238	1
Easley	0	0	1	0.333333333	28	0	58.75	0	0	0	20	0	52.92887174	1
Farmer	0	0	0	0	14	0	39.36170213	0	1	0	6	1	43.27763559	1
Feingold	1	1	0	0	8	1	53.125	0	1	0	4	1	55.64975391	1
Feinstein	0	0	0	0	36	1	61.11111111	0	0	0	10	1	60.4164929	1
Fernald	0	0	0	0	9	0	42.1686747	1	0	0	17	0	39.4640276	1
Fingerhut	0	0	0	0	36	0	41.30434783	0	1	0	8	1	36.14605872	1
Fisher	1	1	1	0.166666667	25	0	39.20270024	1	0	0	13	0	46.9682069	1
Fogarty	1	0	0	0	9	0	46.04743083	0	0	1	10	0	51.00863734	1
Ford	1	1	1	0.625	15	0	43.90374332	0	0	1	19	1	48.62049399	1
Granholm	1	1	1	0.714285714	14	0	51.94805195	1	0	0	23	0	52.03337686	1
Gregoire	1	1	1	0	8	0	53.78247151	0	1	0	12	0	50.00242119	1
Hagan	0	0	0	0	27	0	36.25	1	0	0	20	0	39.87593534	1
Harkin	1	1	1	0.3125	23	1	58.24175824	1	0	0	9	1	55.30778211	1
Hatch	1	1	1	1	9	0	50.58139535	0	0	1	15	0	49.48163778	1
Heath	0	0	0	0	13	0	33.33333333	1	0	0	16	0	34.95502796	1
Henry	0	0	0	1	8	0	36.23188406	1	0	0	31	0	50.38598188	1
Hirono	1	1	0	1	8	0	41.89189189	1	0	0	26	0	47.69524447	1
Hodges	1	1	1	0.769230769	20	1	51.1627907	1	0	0	14	0	47.09541806	1
Hoeffel	1	1	1	0.047619048	28	0	43.47826087	0	1	0	8	1	44.38171846	1
Holden	1	1	1	1	14	0	53.75	0	0	0	20	0	50.46944934	1
Kernan	1	1	1	0	27	1	49.33333333	0	1	0	25	0	46.08964206	1
Kirk	1	1	0	0	31	0	52.43902439	1	0	0	18	1	43.92986435	1
Klink	0	0	1	0	32	0	41.89189189	0	0	0	26	1	46.47333223	1
Klobuchar	0	1	1	0	9	0	61.36363636	0	0	1	12	1	60.47991442	1
Kohl	0	0	0	0	9	1	64.51612903	0	0	1	7	1	69.5436076	1
Kulongoski	1	1	1	0.055555556	25	0	67.81609195	1	0	0	13	0	51.5093904	1
Lautenberg	1	1	1	0.25	23	0	53.1897222	1	0	0	13.75	1	55.07477867	1
Lincoln	0	0	0	0	25	1	63.04347826	0	1	0	8	1	55.91607002	1
Lynch	1	1	1	0	8	0	48.35164835	0	1	0	9	0	51.07447319	1
Majette	0	0	0	0.166666667	13	0	44.25287356	0	1	0	13	1	40.47681082	1
Matheson	0	0	0	0	20	0	41.57303371	0	1	0	11	0	41.72666527	1
McBride	0	0	0	0.5	9	0	47.25274725	1	0	0	9	0	43.7896935	1
McCall	0	1	1	0	9	0	40	1	0	0	20	0	40.90553589	1
McCaskill	1	1	1	0.142857143	14	0	47.31182796	0	1	0	7	0	48.49140846	1
Menendez	1	1	1	0.0625	23	1	48.05194805	0	0	1	23	1	54.61808281	1
Mikulski	1	0	0	0	36	1	68.60465116	0	1	0	14	1	65.77176837	1
Miller	0	0	0	0	17	0	63.26558266	0	0	0	14	1	60.55717482	1
Minner	0	0	0	0	10	0	64.38356164	0	0	0	27	0	59.84895316	1
Moe	0	0	0	0	9	0	49.09090909	1	0	0	45	0	45.1062507	1
Mongiardo	1	1	0	0	25	0	44.82758621	0	1	0	13	1	49.34317736	1
Moore	1	0	0	0.066666667	22	0	43.33333333	0	0	1	10	0	44.83053209	1
Murray	1	1	1	1	8	1	60.63829787	0	1	0	6	1	56.26520354	1
Napolitano	1	1	1	0	9	0	54.83870968	1	0	0	38	0	50.52728131	1
Nelson	1	1	1	1	10	0	55	0	0	0	20	1	52.49470792	1
O'Bannon	1	1	1	0.095238095	28	1	55.42168675	0	0	0	17	0	57.57884392	1
O'Brien	0	0	0	0	8	0	51.72413793	1	0	0	13	0	47.44926416	1
O'Malley	0	0	0	0	9	0	53.5188216	0	0	1	7.5	0	53.30407192	1
Orton	0	0	0	0	20	0	34.52380952	0	0	0	16	0	43.11356479	1
Parker	0	0	0	0	20	0	42.30769231	1	0	0	22	1	40.47335252	1
Pederson	1	1	1	1	9	0	45.53648599	0	0	1	10	1	44.91873397	1
Pingree	0	0	0	0.2	22	0	35.34303534	1	0	0	24	1	41.56435247	1
Pryor	1	1	1	0.555555556	25	0	45.74468085	1	0	0	6	1	54.09355452	1
Racine	0	0	0	0	9	0	54.83870968	1	0	0	38	0	48.5395595	1
Rendell	1	1	1	0.333333333	25	0	53.875806	1	0	0	15.5	0	54.62260927	1
Richardson	1	1	1	0.125	23	0	62.76595745	1	0	0	6	0	58.69645475	1
