"exper" "treat" "age" "educ" "black" "hisp" "married" "nodegr" "re74" "re75" "re78" "re74.miss"
"298" 0 0 47 12 0 0 0 0 0 0 0 0
"299" 0 0 50 12 1 0 1 0 0 0 0 1
"300" 0 0 44 12 0 0 0 0 0 0 0 0
"301" 0 0 28 12 1 0 1 0 0 0 0 1
"302" 0 0 54 12 0 0 1 0 0 0 0 1
"303" 0 0 55 12 0 1 1 0 0 0 0 1
"304" 0 0 47 12 0 0 1 0 0 0 0 0
"305" 0 0 25 12 1 0 0 0 0 0 0 0
"306" 0 0 44 12 0 0 1 0 0 0 0 0
"307" 0 0 50 12 1 0 1 0 0 0 0 0
"308" 0 0 23 12 1 0 0 0 0 0 4730 1
"309" 0 0 49 14 0 0 1 0 0 0 0 0
"310" 0 0 55 14 0 0 1 0 0 0 0 1
"311" 0 0 34 14 1 0 1 0 0 0 0 1
"312" 0 0 34 16 0 0 1 0 0 0 11800 1
"313" 0 0 55 13 0 1 1 0 0 0 0 0
"314" 0 0 52 12 0 0 1 0 0 0 0 0
"315" 0 0 52 15 0 0 1 0 0 0 0 0
"316" 0 0 30 16 0 0 1 0 0 0 0 1
"317" 0 0 21 12 0 0 0 0 0 0 0 1
"318" 0 0 30 17 0 0 0 0 0 0 0 1
"319" 0 0 44 12 0 0 1 0 0 0 0 0
"320" 0 0 46 12 0 0 0 0 0 0 0 1
"321" 0 0 53 17 0 0 1 0 0 0 0 1
"322" 0 0 26 16 0 0 0 0 0 0 9010 1
"323" 0 0 49 12 0 0 1 0 0 0 13300 0
"324" 0 0 39 15 0 0 1 0 0 0 1920 1
"325" 0 0 26 17 0 0 1 0 0 0 11800 0
"326" 0 0 32 16 0 0 1 0 0 0 0 0
"327" 0 0 34 12 0 0 1 0 0 0 0 1
"328" 0 0 31 14 0 0 1 0 0 0 0 0
"329" 0 0 39 17 0 1 1 0 0 0 8870 1
"330" 0 0 40 17 0 0 1 0 0 0 0 0
"331" 0 0 31 12 0 0 1 0 0 0 0 1
"332" 0 0 27 13 0 0 1 0 0 0 28100 1
"333" 0 0 48 12 0 0 1 0 0 0 0 1
"334" 0 0 41 13 0 0 1 0 0 0 0 0
"335" 0 0 26 14 0 0 0 0 0 0 0 0
"336" 0 0 50 17 0 0 0 0 0 0 0 0
"337" 0 0 48 12 0 0 1 0 0 0 12900 0
"338" 0 0 45 16 0 0 1 0 0 0 0 1
"339" 0 0 37 13 0 0 1 0 0 0 0 0
"340" 0 0 33 12 0 0 1 0 0 0 0 0
"341" 0 0 31 12 0 0 1 0 0 0 0 0
"342" 0 0 36 12 1 0 1 0 0 0 17700 0
"343" 0 0 44 13 0 0 1 0 0 0 0 0
"344" 0 0 28 17 0 0 1 0 0 0 0 1
"345" 0 0 30 17 0 0 1 0 0 0 0 0
"346" 0 0 42 16 0 0 1 0 0 0 0 0
"347" 0 0 30 12 0 0 1 0 0 0 0 0
"348" 0 0 27 16 0 0 1 0 0 0 0 0
"349" 0 0 37 12 0 0 1 0 0 0 0 1
"350" 0 0 37 12 0 0 1 0 0 0 0 0
"351" 0 0 45 12 0 0 1 0 0 0 22200 0
"352" 0 0 35 16 0 0 1 0 0 0 0 0
"353" 0 0 37 17 0 0 1 0 0 0 66500 0
"354" 0 0 27 17 0 0 1 0 0 0 0 0
"355" 0 0 47 14 0 0 1 0 0 0 0 1
"356" 0 0 48 12 0 0 1 0 0 0 0 0
"357" 0 0 42 12 0 0 1 0 0 0 0 1
"358" 0 0 43 12 0 0 1 0 0 0 0 0
"359" 0 0 46 12 0 0 1 0 0 0 0 1
"360" 0 0 46 12 0 0 1 0 0 0 0 0
"361" 0 0 46 12 0 0 1 0 0 0 0 1
"362" 0 0 29 16 0 0 1 0 0 0 8400 0
"363" 0 0 39 13 0 0 1 0 0 0 0 1
"364" 0 0 32 12 0 0 1 0 0 0 0 0
"365" 0 0 48 16 0 0 1 0 0 0 0 1
"366" 0 0 48 16 0 0 1 0 0 0 0 1
"367" 0 0 41 13 0 0 1 0 0 0 0 0
"368" 0 0 42 13 0 0 1 0 0 0 0 1
"369" 0 0 42 13 0 0 1 0 0 0 0 1
"370" 0 0 42 13 0 0 1 0 0 0 0 0
"371" 0 0 54 13 0 0 1 0 0 0 0 1
"372" 0 0 29 14 0 0 1 0 0 0 0 0
"373" 0 0 54 12 0 0 1 0 0 0 0 1
"374" 0 0 54 12 0 0 1 0 0 0 0 0
"375" 0 0 26 14 0 0 1 0 0 0 0 0
"376" 0 0 43 17 0 0 1 0 0 0 36900 0
"377" 0 0 54 12 0 0 1 0 0 0 0 1
"378" 0 0 37 12 0 0 1 0 0 0 0 0
"379" 0 0 54 16 0 0 1 0 0 0 0 0
"380" 0 0 48 17 0 0 1 0 0 0 0 1
"381" 0 0 44 12 0 0 1 0 0 0 0 0
"382" 0 0 54 12 0 0 1 0 0 0 0 0
"383" 0 0 38 12 0 0 1 0 0 0 0 0
"384" 0 0 37 13 0 0 1 0 0 0 0 0
"385" 0 0 27 17 0 0 1 0 0 0 0 1
"386" 0 0 51 12 0 0 1 0 0 0 0 1
"387" 0 0 39 12 0 0 1 0 0 0 0 0
"388" 0 0 55 14 0 0 1 0 0 0 0 0
"389" 0 0 54 13 0 0 1 0 0 0 0 0
"390" 0 0 54 13 0 0 1 0 0 0 0 1
"391" 0 0 34 12 0 0 1 0 0 0 0 1
"392" 0 0 50 14 0 0 1 0 0 0 0 0
"393" 0 0 50 12 0 0 1 0 0 0 0 1
"394" 0 0 21 14 0 1 0 0 0 71.6 3660 0
"395" 0 0 26 12 0 0 1 0 0 71.6 0 1
"396" 0 0 21 13 0 0 0 0 0 693 2660 1
"397" 0 0 23 16 0 0 1 0 0 1520 0 0
"398" 0 0 21 15 0 0 0 0 0 3220 14800 0
"399" 0 0 23 14 0 0 0 0 0 3400 5320 0
"400" 0 0 27 16 0 0 1 0 0 4830 0 1
"401" 0 0 25 12 0 0 1 0 0 5730 26600 0
"402" 0 0 27 17 0 0 0 0 0 6090 7390 1
"403" 0 0 55 12 0 0 1 0 0 6270 10300 0
"404" 0 0 20 12 0 0 1 0 0 7160 0 1
"405" 0 0 18 12 0 0 1 0 0 8060 19200 1
"406" 0 0 27 12 0 0 1 0 0 8240 20700 0
"407" 0 0 28 16 0 0 1 0 0 8950 36900 0
"408" 0 0 36 12 1 0 1 0 0 8950 11800 1
"409" 0 0 33 13 1 0 1 0 0 10700 20700 0
"410" 0 0 36 12 0 0 1 0 0 10700 0 0
"411" 0 0 27 13 0 0 1 0 0 16100 29600 1
"412" 0 0 45 17 0 0 1 0 0 16100 17700 0
"413" 0 0 45 17 0 0 1 0 0 16100 17700 0
"414" 0 0 45 17 0 0 1 0 0 16100 17700 0
"415" 0 0 31 12 0 0 1 0 0 17900 0 0
"416" 0 0 34 12 0 0 1 0 0 17900 63500 0
"417" 0 0 34 12 0 0 1 0 0 17900 63500 1
"418" 0 0 47 14 0 0 1 0 0 17900 22200 0
"419" 0 0 35 16 0 0 1 0 0 19700 17700 0
"420" 0 0 43 17 0 0 1 0 0 21200 29600 0
"421" 0 0 25 12 1 0 1 0 0 21500 1220 0
"422" 0 0 29 15 0 0 0 0 0 21500 22300 0
"423" 0 0 31 12 0 0 1 0 0 21500 20700 1
"424" 0 0 52 12 0 0 1 0 0 21500 22200 1
"425" 0 0 22 16 0 0 0 0 0 22600 32500 0
"426" 0 0 53 15 0 0 1 0 0 24200 28100 0
"427" 0 0 29 17 0 0 1 0 0 26000 36900 1
"428" 0 0 31 13 0 0 1 0 0 26000 39900 0
